0.000 0 
0.010 0
0.020 0
0.030 0
0.040 0
0.050 0
0.060 0
0.070 1
0.080 0
0.090 0
0.100 0
0.110 0
0.120 1
0.130 1
0.140 0
0.150 2
0.160 0
0.170 2
0.180 2
0.190 2
0.200 1
0.210 2
0.220 1
0.230 2
0.240 1
0.250 6
0.260 4
0.270 2
0.280 2
0.290 2
0.300 3
0.310 2
0.320 3
0.330 7
0.340 1
0.350 2
0.360 4
0.370 6
0.380 3
0.390 5
0.400 7
0.410 15
0.420 29
0.430 59
0.440 105
0.450 111
0.460 85
0.470 102
0.480 80
0.490 78
0.500 69
0.510 74
0.520 62
0.530 67
0.540 63
0.550 70
0.560 43
0.570 52
0.580 53
0.590 56
0.600 35
0.610 42
0.620 47
0.630 31
0.640 41
0.650 42
0.660 35
0.670 41
0.680 35
0.690 41
0.700 37
0.710 41
0.720 36
0.730 27
0.740 36
0.750 33
0.760 34
0.770 29
0.780 41
0.790 37
0.800 28
0.810 41
0.820 28
0.830 22
0.840 34
0.850 40
0.860 31
0.870 31
0.880 31
0.890 29
0.900 26
0.910 20
0.920 20
0.930 29
0.940 36
0.950 27
0.960 25
0.970 22
0.980 19
0.990 16
1.000 10
1.010 15
1.020 19
1.030 17
1.040 11
1.050 11
1.060 12
1.070 12
1.080 5
1.090 7






